	epoch	CompititionVal Accuracy	CompititionTest Accuracy	Avg OOD Acc	Avg ID FLYP Loss
0	0	0.7049	0.7075	0.7062	1.5789
1	1	0.7134	0.712	0.7127	1.208
2	2	0.6952	0.6953	0.6953	1.1163
3	3	0.7119	0.7031	0.7075	1.0926
4	4	0.7192	0.7059	0.7126	1.0262
5	5	0.7272	0.7118	0.7195	1.0175
6	6	0.7211	0.7122	0.7167	1.0089
7	7	0.7306	0.7186	0.7246	1.0332
8	8	0.7378	0.7278	0.7328	0.9893
9	9	0.7405	0.726	0.7332	0.8776
10	10	0.7423	0.7259	0.7341	0.9609
11	11	0.7452	0.7293	0.7372	0.9747
12	12	0.747	0.7323	0.7396	0.9879
13	13	0.7506	0.7323	0.7414	0.9511
14	14	0.7511	0.7339	0.7425	0.9792
15	15	0.7516	0.7335	0.7426	0.9347
16	16	0.7513	0.7345	0.7429	0.9664
17	17	0.7511	0.7345	0.7428	0.9637
18	18	0.7513	0.7345	0.7429	0.9783
19	19	0.7515	0.7345	0.743	0.8763
